Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
samedi 21 ao�t 2010,,FC Barcelona,Sevilla,Sevilla,43,3,0,,Right foot,Won
mardi 6 avril 2010,Champions League,FC Barcelona,Arsenal,Arsenal,37,2,1,,Right foot,Won
dimanche 23 ao�t 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,50,1,0,,Right foot,Won
mercredi 27 mai 2009,Champions League,FC Barcelona,Manchester United,Manchester United,70,2,0,,Head,Won
mercredi 8 avril 2009,Champions League,FC Barcelona,Bayern M�nchen,Bayern M�nchen,38,3,0,,Right foot,Won
mercredi 18 avril 2007,,FC Barcelona,Getafe,Getafe,29,2,0,Solo run,Right foot,Won
mercredi 1 f�vrier 2006,,FC Barcelona,Real Zaragoza,Real Zaragoza,42,1,0,Field goal,Head,Won
mercredi 30 janvier 2019,,FC Barcelona,Sevilla,Sevilla,90+2,6,1,Field goal,Left foot,Won
jeudi 17 janvier 2019,,FC Barcelona,Levante,Levante,54,3,0,Field goal,Left foot,Won
mardi 18 septembre 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,77,3,0,Field goal,Left foot,Won
mardi 18 septembre 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,32,1,0,Free kick,Left foot,Won
mercredi 14 mars 2018,Champions League,FC Barcelona,Chelsea,Chelsea,63,3,0,Field goal,Left foot,Won
jeudi 25 janvier 2018,,FC Barcelona,Espanyol,Espanyol,25,2,0,Field goal,Left foot,Won
jeudi 11 janvier 2018,,FC Barcelona,Celta de Vigo,Celta de Vigo,15,2,0,Field goal,Left foot,Won
jeudi 11 janvier 2018,,FC Barcelona,Celta de Vigo,Celta de Vigo,13,1,0,Field goal,Left foot,Won
mercredi 18 octobre 2017,Champions League,FC Barcelona,Olympiacos,Olympiacos,61,2,0,Free kick,Left foot,Won
mardi 12 septembre 2017,Champions League,FC Barcelona,Juventus,Juventus,69,3,0,Field goal,Left foot,Won
mardi 12 septembre 2017,Champions League,FC Barcelona,Juventus,Juventus,45,1,0,Field goal,Left foot,Won
dimanche 13 ao�t 2017,,FC Barcelona,Real Madrid,Real Madrid,76,1,1,Penalty,Left foot,Lost
samedi 27 mai 2017,,FC Barcelona,Alav�s,Alav�s,30,1,0,Field goal,Left foot,Won
mercredi 8 mars 2017,Champions League,FC Barcelona,Paris Saint-Germain,Paris Saint-Germain,50,3,0,Penalty,Left foot,Won
jeudi 26 janvier 2017,,FC Barcelona,Real Sociedad,Real Sociedad,55,2,0,Penalty,Left foot,Won
mercredi 11 janvier 2017,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,3,1,Free kick,Left foot,Won
mardi 6 d�cembre 2016,Champions League,FC Barcelona,Borussia M�nchengladbach,Borussia M�nchengladbach,16,1,0,Field goal,Left foot,Won
